rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
22262;3;COLEGIO SAN CRISTOBAL;10;DE LOS LAGOS;101;LLANQUIHUE;10106;LOS MUERMOS;101;Llanquihue;3;2;2;1;50;51;232;266;-12;-33;-8;19;0;-1;-1;1;;;;;74;8;18;41.2;39.2;19.6;0;v12025;20260427;2m;2025
573;8;ESCUELA PARTICULAR TERESA VIDELA DE G;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;3;2;3;1;69;69;258;268;-20;13;2;1;-1;0;0;0;;;;;42;33.3;24.6;36.2;46.4;17.4;0;v12025;20260427;2m;2025
1987;9;COLEGIO NUEVO CHILENO BRITANICO;5;DE VALPARAÍSO;58;MARGA MARG;5804;VILLA ALEMANA;53;Valparaiso - Isla de Pascua;3;2;2;1;24;23;211;219;;;-29;-28;;;-1;-1;;;1;1;79.2;12.5;8.3;73.9;21.7;4.3;0;v12025;20260427;2m;2025
12266;1;COLEGIO CIUDADELA MONTESSORI DE LAS CO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;8;8;292;298;-4;29;4;-31;0;0;0;-1;;;;;;;;;;;0;v12025;20260427;2m;2025
4655;8;COLEGIO ADVENTISTA DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;83;Concepcion;3;2;3;1;62;67;260;265;8;11;4;-2;0;0;0;0;;;;;41.9;24.2;33.9;41.8;47.8;10.4;0;v12025;20260427;2m;2025
17885;3;CENTRO EDUCACIONAL BICENTENARIO ALTOS;8;DEL BIOBÍO;81;CONCEPCIÓN;8111;TOMÉ;83;Concepcion;2;1;2;1;129;130;235;249;2;-12;-5;2;0;0;-1;0;;;;;61.2;20.9;17.8;57.7;28.5;13.8;0;v12025;20260427;2m;2025
10606;2;COLEGIO GETSEMANI;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13401;SAN BERNARDO;132;Sur;3;2;3;1;29;30;255;269;2;29;-1;2;0;1;0;0;;;;;37.9;37.9;24.1;43.3;33.3;23.3;0;v12025;20260427;2m;2025
8339;9;COLEGIO ROBERTO WHITE GESELL;10;DE LOS LAGOS;104;PALENA;10404;PALENA;104;Palena;2;1;1;2;27;28;230;242;-11;-4;2;9;0;0;0;0;;;;;59.3;29.6;11.1;60.7;28.6;10.7;0;v12025;20260427;2m;2025
12667;5;COLEGIO HUMBERSTONE;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;11;Iquique;3;2;4;1;122;123;272;268;8;-7;2;-21;0;0;0;-1;;;;;27.9;43.4;28.7;43.1;32.5;24.4;0;v12025;20260427;2m;2025
25402;9;COL.  PART. SALES. EL PATROCINIO DE SA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;3;2;5;1;60;61;277;362;-5;28;-11;33;0;1;-1;1;;;;;25;35;40;1.6;19.7;78.7;0;v12025;20260427;2m;2025
16497;6;COLEGIO ANDES DE TALCA;7;DEL MAULE;71;TALCA;7101;TALCA;72;Talca;4;3;5;1;22;22;318;337;1;9;30;8;0;0;1;0;;;;;9.1;13.6;77.3;4.5;45.5;50;0;v12025;20260427;2m;2025
1260;2;LICEO BICENTENARIO DE EXCELENCIA PARRO;5;DE VALPARAÍSO;53;LOS ANDES;5303;RINCONADA;52;San Felipe - Los Andes;3;2;3;1;34;35;252;275;6;10;-4;8;0;0;0;0;;;;;52.9;23.5;23.5;37.1;37.1;25.7;0;v12025;20260427;2m;2025
24423;6;COLEGIO SAN JUAN DIEGO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13127;RECOLETA;137;Norte;3;2;3;1;73;76;265;274;0;10;9;7;0;0;1;0;;;;;31.5;47.9;20.5;36.8;36.8;26.3;0;v12025;20260427;2m;2025
613;0;COLEGIO DE ARTES CLAUDIO ARRAU;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;6;4;2;1;44;46;269;244;-3;-24;29;-3;0;-1;1;0;;;;;25;36.4;38.6;60.9;23.9;15.2;0;v12025;20260427;2m;2025
25751;6;COLEGIO LIAHONA CORDILLERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;4;1;59;65;238;273;-23;-11;-32;-16;-1;0;-1;-1;;;;;54.2;23.7;22;43.1;27.7;29.2;0;v12025;20260427;2m;2025
26292;7;LICEO POLIVALENTE MUNICIPAL DE LA FLOR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;1;1;2;1;92;92;234;238;0;2;-6;-9;0;0;-1;-1;;;;;60.9;33.7;5.4;64.1;28.3;7.6;0;v12025;20260427;2m;2025
