"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
50;2025;3;74;-19;;-1;-3;;0;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
50;2025;4;65;-17;;-1;-6;;-1;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
52;2025;1;71;-7;;-1;-3;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
52;2025;2;75;0;;0;0;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
52;2025;3;76;-4;;-1;-1;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
52;2025;4;73;-2;;0;2;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
56;2025;1;74;0;;0;2;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;4b
56;2025;2;76;-2;;0;2;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;4b
56;2025;3;80;1;;0;4;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;4b
56;2025;4;74;3;;0;4;;1;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;4b
59;2025;1;76;2;;0;4;;1;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;4b
59;2025;2;80;5;;1;4;;1;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;4b
59;2025;3;83;2;;0;6;;1;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;4b
59;2025;4;70;-2;;0;3;;0;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;4b
