rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect8b_rbd;nalu_mate8b_rbd;nalu_hist8b_rbd;prom_lect8b_rbd;prom_mate8b_rbd;prom_hist8b_rbd;dif_lect8b_rbd;dif_mate8b_rbd;dif_hist8b_rbd;difgru_lect8b_rbd;difgru_mate8b_rbd;difgru_hist8b_rbd;sigdif_lect8b_rbd;sigdif_mate8b_rbd;sigdif_hist8b_rbd;siggru_lect8b_rbd;siggru_mate8b_rbd;siggru_hist8b_rbd;marca_lect8b_rbd;marca_mate8b_rbd;marca_hist8b_rbd;marcadif_lect8b_rbd;marcadif_mate8b_rbd;marcadif_hist8b_rbd;palu_eda_ins_lect8b_rbd;palu_eda_ele_lect8b_rbd;palu_eda_ade_lect8b_rbd;palu_eda_ins_mate8b_rbd;palu_eda_ele_mate8b_rbd;palu_eda_ade_mate8b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN N;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;6;4;4;1;28;29;28;232;243;244;4;-3;5;-18;-30;-18;0;0;0;-1;-1;-1;;;;;;;32.1;64.3;3.6;51.7;41.4;6.9;0;v12025;20260427;8b;2025
25485;1;ESC. BASICA  `SAN BENIGNO`;13;METROPOLITANA DE SANTIAGO;133;CHACABUCO;13301;COLINA;137;Norte;3;2;2;1;30;32;30;253;260;276;18;14;20;28;18;40;1;0;1;1;1;1;;;;;;;26.7;46.7;26.7;28.1;59.4;12.5;0;v12025;20260427;8b;2025
8671;1;COLEGIO BICENTENARIO VICTORIA PRIETO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;3;2;3;1;36;36;36;255;280;277;-1;-3;6;18;24;29;0;0;0;1;1;1;;;;;;;27.8;52.8;19.4;16.7;55.6;27.8;0;v12025;20260427;8b;2025
9335;1;ESCUELA PARTICULAR LOS COPIHUES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;3;1;25;26;25;239;255;239;-2;-3;-11;2;-1;-9;0;0;0;0;0;0;;;;;;;40;32;28;46.2;42.3;11.5;0;v12025;20260427;8b;2025
1930;5;ABRAHAM LINCOLN MEMORIAL COLLEGE;5;DE VALPARAÍSO;58;MARGA MARG;5801;QUILPUÉ;53;Valparaiso - Isla de Pascua;3;2;2;1;22;21;22;212;250;222;-17;13;-4;-13;8;-14;-1;0;0;-1;0;-1;;;;;;;63.6;36.4;0;61.9;33.3;4.8;0;v12025;20260427;8b;2025
10586;4;ESCUELA ELEODORO YANEZ PONCE DE LEON;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13401;SAN BERNARDO;132;Sur;6;4;2;1;44;45;45;223;240;243;1;1;3;-2;-2;7;0;0;0;0;0;0;;;;;;;59.1;31.8;9.1;57.8;35.6;6.7;0;v12025;20260427;8b;2025
822;2;ESCUELA JUNTAS;4;DE COQUIMBO;43;LIMARÍ;4303;MONTE PATRIA;42;Limari;2;1;1;2;12;12;12;247;271;257;-6;11;-9;29;37;26;0;0;0;1;1;1;;;;;;;41.7;41.7;16.7;16.7;50;33.3;0;v12025;20260427;8b;2025
11107;4;COLEGIO PART.SANTA TERESA DE JESUS;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;4;3;4;1;39;39;39;252;259;260;6;1;9;2;-14;-2;0;0;0;0;-1;0;;;;;;;35.9;38.5;25.6;38.5;43.6;17.9;0;v12025;20260427;8b;2025
4609;4;ESCUELA PALESTINA DE PALOMARES;8;DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;83;Concepcion;6;4;2;1;16;16;16;202;243;218;-20;-1;2;-23;1;-18;-1;0;0;-1;0;-1;;;;;;;68.8;31.3;0;37.5;62.5;0;0;v12025;20260427;8b;2025
9312;2;CHILEAN EAGLES COLLEGE LAS VIZCACHAS;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;113;117;113;242;289;257;8;21;0;-8;16;-5;0;1;0;-1;1;0;;;;;;;42.5;38.1;19.5;22.2;29.9;47.9;0;v12025;20260427;8b;2025
