rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
11344;1;INSTITUTO JAVIERA CARRERA DE LINARES;7;DEL MAULE;74;LINARES;7401;LINARES;73;Linares;3;2;1;1;11;11;228;220;-15;-12;-31;-23;0;0;-1;-1;;;;;63.6;18.2;18.2;72.7;18.2;9.1;0;v12025;20260427;4b;2025
25894;6;COLEGIO MANANTIAL DE SAN MIGUEL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13130;SAN MIGUEL;131;Centro;3;2;4;1;22;22;265;260;-12;-6;-19;-10;0;0;-1;-1;;;;;31.8;22.7;45.5;40.9;40.9;18.2;0;v12025;20260427;4b;2025
4746;5;ESCUELA BUENA VISTA ZAROR;8;DEL BIOBÍO;81;CONCEPCIÓN;8110;TALCAHUANO;83;Concepcion;2;1;2;1;18;18;261;241;0;-16;-6;-11;0;0;0;-1;;;;;27.8;38.9;33.3;66.7;16.7;16.7;0;v12025;20260427;4b;2025
3667;6;ESCUELA BASICA LA CASTILLA;16;DE ÑUBLE;161;DIGUILLÍN;16101;CHILLÁN;161;Diguillín;2;1;2;1;7;6;273;292;-22;39;6;40;0;1;0;1;;;;;;;;;;;0;v12025;20260427;4b;2025
14487;8;COLEGIO MAESE DA VINCI;5;DE VALPARAÍSO;54;PETORCA;5401;LA LIGUA;51;Quillota - Petorca;3;2;3;1;38;37;284;258;18;-1;8;-2;1;0;1;0;;;;;18.4;26.3;55.3;40.5;35.1;24.3;0;v12025;20260427;4b;2025
4995;6;ESCUELA OCTAVIO SALINAS CARIAGA;8;DEL BIOBÍO;81;CONCEPCIÓN;8102;CORONEL;83;Concepcion;6;4;1;1;21;21;263;223;9;-6;4;-20;0;0;0;-1;;;;;33.3;19;47.6;57.1;38.1;4.8;0;v12025;20260427;4b;2025
2831;2;ESCUELA GERARDO RODRIGUEZ ORTUZAR;7;DEL MAULE;73;CURICÓ;7306;ROMERAL;71;Curico;2;1;1;2;6;7;268;241;;;9;-2;;;0;0;;;2;2;;;;;;;0;v12025;20260427;4b;2025
5333;3;ESCUELA DE ICALMA;9;DE LA ARAUCANÍA;92;MALLECO;9205;LONQUIMAY;91;Malleco;2;1;1;2;16;16;273;246;27;-2;14;3;1;0;1;0;;;;;25;37.5;37.5;50;37.5;12.5;0;v12025;20260427;4b;2025
1752;3;ESCUELA PARTICULAR SANTA FILOMENA;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;2;1;52;58;277;241;21;7;10;-11;1;0;1;-1;;;;;23.1;23.1;53.8;46.6;46.6;6.9;0;v12025;20260427;4b;2025
25556;4;COLEGIO SOCHIDES;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;2;1;41;41;230;235;-11;-16;-37;-17;0;-1;-1;-1;;;;;63.4;26.8;9.8;61;39;0;0;v12025;20260427;4b;2025
816;8;ESCUELA GUSTAVO CONTRERAS CASTRO;4;DE COQUIMBO;43;LIMARÍ;4303;MONTE PATRIA;42;Limari;2;1;3;2;2;2;324;241;;;;;;;;;;;1;1;;;;;;;0;v12025;20260427;4b;2025
4308;7;COLEGIO ABEL INOSTROZA GUTIERREZ;8;DEL BIOBÍO;83;BIOBÍO;8303;CABRERO;82;Bio Bio;3;2;3;1;30;31;298;292;8;-14;22;32;0;0;1;1;;;;;16.7;23.3;60;6.5;54.8;38.7;0;v12025;20260427;4b;2025
